Hour	Occupancy (%)	# Lane Points	% Observed
04/20/2018 00:00	3.9	48	100.0
04/20/2018 01:00	2.3	48	100.0
04/20/2018 02:00	1.7	48	100.0
04/20/2018 03:00	1.6	48	100.0
04/20/2018 04:00	1.5	48	100.0
04/20/2018 05:00	2.1	48	83.3
04/20/2018 06:00	3.9	48	100.0
04/20/2018 07:00	7.4	48	100.0
04/20/2018 08:00	8.1	48	83.3
04/20/2018 09:00	7.2	48	100.0
04/20/2018 10:00	7.9	48	100.0
04/20/2018 11:00	8.0	48	100.0
04/20/2018 12:00	10.4	48	100.0
04/20/2018 13:00	12.5	48	100.0
04/20/2018 14:00	15.1	48	100.0
04/20/2018 15:00	23.8	48	100.0
04/20/2018 16:00	26.1	48	100.0
04/20/2018 17:00	34.1	48	100.0
04/20/2018 18:00	22.2	48	100.0
04/20/2018 19:00	10.9	48	100.0
04/20/2018 20:00	10.0	48	100.0
04/20/2018 21:00	9.0	48	100.0
04/20/2018 22:00	8.5	48	100.0
04/20/2018 23:00	7.2	48	100.0

